Date,Close/Last,Volume,Open,High,Low
08/13/2025,$94.18,6493412,$93.18,$94.685,$92.7403
08/12/2025,$93.37,9674537,$93.438,$94.85,$93.08
08/11/2025,$91.74,9504432,$92.04,$92.44,$90.49
08/08/2025,$92.12,8035260,$90.77,$92.205,$90.75
08/07/2025,$91.02,9891846,$89.73,$91.355,$89.49
08/06/2025,$88.99,7869144,$90.21,$90.36,$88.8201
08/05/2025,$90.20,6994419,$89.65,$90.56,$89.31
08/04/2025,$89.78,12500420,$87.075,$90.1093,$86.94
08/01/2025,$86.86,16221310,$88.39,$88.495,$85.49
07/31/2025,$89.16,16565420,$91.60,$93.065,$88.43
07/30/2025,$92.76,44794730,$97.825,$98.89,$90.07
07/29/2025,$92.96,20923550,$93.25,$94.39,$91.775
07/28/2025,$93.67,10333590,$94.93,$95.74,$93.46
07/25/2025,$94.42,7224105,$93.40,$94.48,$92.31
07/24/2025,$93.70,7897596,$95.50,$95.58,$93.42
07/23/2025,$95.92,11275280,$97.345,$98.18,$95.535
07/22/2025,$96.94,9992365,$92.95,$97.16,$92.85
07/21/2025,$92.66,7217334,$94.30,$95.29,$92.61
07/18/2025,$93.80,5173102,$94.04,$94.4599,$93.25
07/17/2025,$93.19,8588994,$90.73,$93.285,$90.57
07/16/2025,$92.51,7136905,$92.66,$93.28,$91.56
07/15/2025,$92.48,8567878,$93.62,$94.30,$92.15
07/14/2025,$93.42,6048282,$93.68,$93.9624,$92.27
07/11/2025,$94.94,6339762,$94.37,$95.32,$94.14
07/10/2025,$95.15,6916235,$94.88,$95.735,$93.55
07/09/2025,$95.25,8322429,$97.55,$97.89,$94.655
07/08/2025,$94.94,6985665,$94.06,$95.75,$93.78
07/07/2025,$93.64,5311175,$94.16,$94.945,$92.97
07/03/2025,$94.44,3557273,$94.20,$94.65,$93.76
07/02/2025,$94.18,7942282,$95.28,$95.30,$93.35
07/01/2025,$94.92,9828404,$91.54,$95.86,$91.54
06/30/2025,$91.63,10083270,$92.42,$94.16,$91.08
06/27/2025,$92.11,21491640,$91.77,$92.72,$90.33
06/26/2025,$91.84,6571647,$92.10,$92.20,$90.42
06/25/2025,$91.10,6929643,$91.755,$92.00,$90.6181
06/24/2025,$91.50,11373850,$92.905,$93.84,$90.31
06/23/2025,$92.34,7532996,$93.20,$93.21,$90.74
06/20/2025,$93.12,9197029,$93.08,$93.80,$92.40
06/18/2025,$92.28,7319258,$91.88,$92.58,$91.23
06/17/2025,$91.59,6183009,$93.16,$93.21,$90.785
06/16/2025,$93.48,5871048,$93.98,$94.43,$92.9412
06/13/2025,$93.26,7119922,$93.50,$94.61,$93.16
06/12/2025,$94.32,7183303,$94.68,$95.07,$93.965
06/11/2025,$95.39,14835490,$92.11,$95.91,$92.00
06/10/2025,$91.43,6911110,$89.90,$91.89,$89.53
06/09/2025,$90.67,8097257,$89.08,$91.14,$89.08
06/06/2025,$89.64,8772872,$88.40,$89.89,$88.24
06/05/2025,$86.99,8479357,$88.18,$88.41,$86.86
06/04/2025,$88.11,8740890,$86.63,$88.54,$86.0201
06/03/2025,$86.60,8287651,$85.065,$87.49,$84.40
06/02/2025,$85.19,8258866,$83.275,$85.30,$83.19
05/30/2025,$83.95,7394094,$83.94,$84.27,$83.1933
05/29/2025,$84.05,10312550,$84.90,$85.7007,$83.699
05/28/2025,$86.00,12328510,$87.43,$87.595,$84.54
05/27/2025,$87.01,10922300,$85.43,$87.09,$85.22
05/23/2025,$84.40,7088243,$82.58,$84.825,$82.57
05/22/2025,$83.97,8440409,$83.215,$84.48,$82.72
05/21/2025,$82.98,10875430,$84.41,$85.5082,$82.51
05/20/2025,$85.59,9310599,$84.52,$86.15,$84.45
05/19/2025,$84.61,9568067,$84.45,$85.14,$84.11
05/16/2025,$85.57,13109490,$86.62,$86.91,$84.275
05/15/2025,$87.26,13721890,$86.54,$87.78,$85.82
05/14/2025,$86.535,12741550,$86.71,$87.63,$85.74
05/13/2025,$86.88,11533700,$85.87,$87.14,$85.10
05/12/2025,$85.67,17241550,$83.65,$86.54,$83.64
05/09/2025,$80.30,8210711,$82.41,$82.67,$80.20
05/08/2025,$82.19,8759817,$83.34,$83.60,$81.69
05/07/2025,$82.71,8227253,$82.97,$83.23,$82.14
05/06/2025,$82.78,10709520,$81.00,$83.37,$80.61
05/05/2025,$81.66,13361870,$83.995,$84.078,$81.59
05/02/2025,$84.69,13512930,$82.59,$84.83,$82.05
05/01/2025,$82.01,18326730,$80.71,$82.705,$80.27
04/30/2025,$80.05,41297030,$76.37,$80.28,$75.50
04/29/2025,$84.85,16356940,$83.64,$85.07,$83.20
04/28/2025,$83.90,7091355,$84.33,$85.055,$83.27
04/25/2025,$83.81,5799429,$83.63,$83.99,$82.46
04/24/2025,$83.86,6798096,$82.39,$84.14,$81.58
04/23/2025,$82.81,9114434,$84.00,$85.74,$82.65
04/22/2025,$81.75,10408580,$81.91,$83.49,$81.62
04/21/2025,$80.68,10595620,$80.36,$80.82,$78.13
04/17/2025,$81.50,9787506,$81.25,$82.55,$81.20
04/16/2025,$80.76,13080850,$83.30,$83.52,$79.89
04/15/2025,$83.71,7088577,$85.50,$86.055,$83.46
04/14/2025,$85.49,8880494,$86.32,$86.77,$83.40
04/11/2025,$85.43,10059730,$84.43,$85.82,$82.08
04/10/2025,$84.60,16209250,$86.11,$86.58,$81.67
04/09/2025,$88.68,26668100,$79.225,$89.13,$77.925
04/08/2025,$79.69,20534590,$83.07,$83.48,$78.69
04/07/2025,$80.00,26099350,$78.626,$83.27,$76.15
04/04/2025,$82.10,19700140,$84.66,$85.43,$81.30
04/03/2025,$88.26,20490060,$93.35,$93.39,$87.65
04/02/2025,$99.41,6043292,$97.41,$99.75,$97.41
04/01/2025,$98.23,5868429,$97.85,$98.90,$97.125
03/31/2025,$98.09,11302850,$96.62,$98.815,$94.58
03/28/2025,$97.73,8066627,$98.00,$98.49,$97.0617
03/27/2025,$98.85,9140963,$97.90,$99.915,$97.535
03/26/2025,$97.97,9567221,$96.00,$98.39,$96.00
03/25/2025,$95.88,6984820,$96.19,$96.97,$94.77
03/24/2025,$95.72,8264970,$98.03,$98.20,$95.63
03/21/2025,$97.07,11366030,$97.94,$98.01,$96.29
03/20/2025,$99.28,5952759,$98.85,$99.69,$98.67
03/19/2025,$99.19,4982672,$98.27,$99.53,$97.95
03/18/2025,$98.28,7423375,$99.23,$99.37,$97.68
03/17/2025,$99.08,10132110,$97.71,$99.445,$97.00
03/14/2025,$98.11,8240921,$96.52,$98.245,$96.155
03/13/2025,$96.04,9274347,$98.71,$98.87,$95.93
03/12/2025,$98.69,9461159,$100.30,$100.30,$96.97
03/11/2025,$99.58,10663530,$101.89,$103.00,$99.00
03/10/2025,$101.125,15823320,$105.73,$106.00,$99.80
03/07/2025,$106.48,11637380,$104.73,$106.855,$103.4381
03/06/2025,$105.47,16321750,$110.01,$110.4266,$104.9054
03/05/2025,$111.69,11926820,$111.57,$112.5194,$110.21
03/04/2025,$112.06,12482360,$114.99,$115.27,$112.00
03/03/2025,$115.41,9225548,$116.04,$117.46,$114.10
02/28/2025,$115.81,11466020,$115.06,$116.09,$114.27
02/27/2025,$114.49,9013720,$113.00,$115.70,$112.8001
02/26/2025,$113.00,7466760,$114.61,$114.79,$112.26
02/25/2025,$114.59,11001780,$113.08,$115.24,$112.67
02/24/2025,$113.19,13120480,$112.34,$113.91,$111.89
02/21/2025,$111.75,9664734,$113.33,$114.68,$111.63
